Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Trade (% of GDP),NE.TRD.GNFS.ZS,"Korea, Rep.",KOR,67.81416625,69.30919988,64.39931105,62.59298815,62.47322689,59.01031723,61.5402175,64.4187112,60.87381954,55.15316566,52.78468709,51.30372057,50.33609289,48.65827339,49.86423672,54.3156478,54.70820165,60.23187117,72.9054547,65.43023242,67.94720274,63.91107188,60.15373411,63.39301239,72.76108631,71.18429245,73.55135,77.24301702,99.93354412,90.41263765,95.65409371,110.0000525,109.8862207,102.7707529,95.94674488,..
Trade (% of GDP),NE.TRD.GNFS.ZS,Japan,JPN,27.79480687,28.10742731,27.77349585,25.60439267,26.84113422,24.85131381,18.34718223,17.35219699,17.40198106,18.99054619,19.6672224,18.17618719,17.41268373,15.92398985,16.01493837,16.74969987,18.93944307,20.38760447,19.6888759,18.75638736,20.3060448,20.2578929,21.16392566,22.09029561,24.46337319,27.21757957,31.08646956,33.80276473,35.22831679,25.02483876,29.14723196,31.1619424,31.34463064,35.1435034,38.5522034,..
Trade (% of GDP),NE.TRD.GNFS.ZS,Philippines,PHL,52.04370069,51.00534098,46.47026739,49.42085256,49.09729809,45.90904084,48.70263284,52.86350774,55.33182679,58.38051789,60.80026958,62.18494869,63.15795315,71.1664701,73.95955656,80.53853431,89.79995598,108.2503174,98.66224418,94.90945626,104.7298598,98.90894108,102.4350803,101.8493334,102.6425208,97.87854923,94.94082587,86.6194089,76.28226657,65.59038464,71.41949127,67.69791655,64.89944361,60.22506287,61.05298726,..
Trade (% of GDP),NE.TRD.GNFS.ZS,Vietnam,VNM,..,..,..,..,..,..,23.21869343,20.79860686,18.95048703,57.90446339,81.31570189,66.9469522,73.5768862,66.21226531,77.4731954,74.72126785,92.70574764,94.34448159,97.00124871,102.7874102,103.2444285,103.6883589,107.8286513,115.1175102,122.2612692,130.714846,138.3136219,154.605384,154.3174796,136.3107385,152.2173686,162.9144917,156.5539303,165.094237,169.5345132,..
Trade (% of GDP),NE.TRD.GNFS.ZS,Thailand,THA,54.47906561,53.96866646,47.54832882,47.38449604,48.06926542,49.15522845,49.17085468,57.22798449,67.41347051,72.40693352,75.78236436,78.47113498,77.95464569,77.74580741,81.24895299,89.75628134,84.27412983,95.05201262,100.2403458,100.7063938,121.2978836,120.2676963,114.969743,116.6928382,127.4120753,137.853903,134.0867706,129.8731411,140.4369681,118.8772424,126.7572434,138.8644558,137.9521696,132.8348065,131.7803544,..
Trade (% of GDP),NE.TRD.GNFS.ZS,Singapore,SGP,411.0352854,399.8744427,372.6621882,333.3125652,313.3367704,304.4346571,295.1035754,325.3742102,360.3534095,348.0501238,344.2589633,323.8290365,311.1561766,313.2037616,315.8438949,345.7442206,335.9331653,325.3933642,313.8848706,337.5439573,366.0708871,352.7492263,354.2779896,382.7914067,406.2920755,422.3304601,430.3576128,398.6578055,439.6566811,360.2307242,372.0993631,376.1455565,368.2325488,359.8867584,350.8502032,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
